lab       NUDT16L1  MDM1      TRIM27    ENPP4     AKR1B10   SDPR      AKR1C3    C17orf104 ICAM1     MBP       PALM      CRYAB     KRT14     NES       ARHGEF6   C1orf144  GSTM3     RECQL4    EGFL7     ZNF185    CTSZ      CLEC3B    APBB1IP
  3153.750  2908.340   236.577   429.594  1919.260   346.744   193.237  1586.960  4999.130   784.786   395.401  5997.320   738.018  3228.650  2103.120   852.237  2326.780  6718.410   902.225  1395.960  3350.870 13025.700  3414.260   499.661
S100PBP   WBP2      FBXO11    ASH2L     NDC80     PBK       ABHD4     KLHDC8B   ITGAV     USP9X     FAM21B    NNMT      TOP2A     C9orf140  CHMP2B    DSP       ACACA     EPS15L1   VTA1      PLEKHB2   NDUFAF1   GSTK1     DLST      RIPK2
   631.783  4139.020   145.285  8045.820 11597.800  5871.540   127.575   385.329 36705.800 15557.400 17120.600  2552.760   142.771   171.714  1693.340 27987.900 16573.500 23277.400  5973.870   352.081  3312.080  9655.410  7852.210  1863.130
   712.790  4116.940   138.038  8089.760 11517.000  5714.010   105.891   325.198 35436.900 15146.500 16130.800  2697.510   116.135   147.282  1522.700 27666.300 15658.300 22667.600  5850.880   292.863  3023.290  9768.330  7704.870  1693.790
   623.193  3756.420   132.111  8039.240 10540.500  5216.660    93.325   325.371 33410.500 14460.400 14980.300  2326.620   119.980   151.394  1421.980 25968.500 14957.200 21274.000  5540.480   305.384  2838.650  8979.340  7208.290  1627.570
   593.008  3712.860   124.232  6561.310 10376.400  5270.610   118.021   317.845 31900.500 13336.000 15125.400  2427.070   114.459   137.468  1490.300 24433.800 14235.100 20345.600  5174.280   279.047  2904.020  8631.220  6896.880  1598.520
NDUFB1    PRKAR1A   DNAJA2    ABI1      ENO3      MAU2      LSM6      GAK       PEF1      SKP1      C1S       MEIS2     HNRNPAB   SLC31A1   NCDN      NF1       PCID2     WDR74     CDK1      GPANK1    TNRC18    MKI67     FADD      TUBB6
  1755.860 11180.900 12003.800  7351.890   730.547  2274.260  5613.820  3794.890  1816.290  5344.700   418.182   329.108 10605.000   747.535  2166.310  5208.590  4543.030  2181.680  7929.820   294.664   566.045  6915.350  2520.690  6910.790
  1573.910 11173.800 11438.100  7318.840   625.262  2213.170  5307.720  3758.860  2091.730  5050.440   389.953   278.605  9490.410   658.396  1926.390  5308.720  4065.040  1954.650  7435.510   374.478   474.194  7195.910  2547.800  6857.610
  1510.270 10567.400 11275.800  6800.210   605.945  1926.680  5158.580  3621.230  1803.210  4716.940   359.101   281.546  8909.240   643.896  1885.470  4764.340  3858.910  1879.540  7099.570   306.754   480.129  6634.440  2394.270  6441.710
  1509.830  9709.710  9987.690  6509.590   624.355  2146.640  4755.900  3236.260  1744.670  4722.210   374.891   270.436  9345.890   633.360  1832.750  4790.940  3961.910  1878.800  6865.560   301.451   465.530  6194.030  2214.220  6080.680
HEATR6    CDKN2A    C2orf76   ZMIZ1     MAP2K1    STX6      GPBP1L1   TRIM21    RAB24     ABT1      NOTCH2    MDP1      DPP8      RP3-474I12EXOSC4    RNPEP     DDX28     TRIOBP    METTL10   EPB41L2   HNRNPA1   SLC25A4   KATNB1    TRIM46
   839.646  2558.060    66.789   756.671  4976.350  1338.520   400.330  2742.810  1207.230   225.804 16613.200  1619.520   939.991    58.661  1913.820 14295.800  3695.490 18765.600   830.617 29129.500    69.213  4756.490   865.471   189.363
   759.484  2322.670    58.964   681.467  5853.270  1150.290   328.158  2574.620  1121.030   196.323 17045.900  1609.080   828.647    57.281  1830.100 13961.600  3238.610 18289.100   836.581 28466.900    60.220  4487.020   848.100   149.574
   726.095  2283.360    53.824   666.896  5972.190  1162.230   335.224  2398.970  1063.090   194.790 15554.800  1492.500   839.402    52.724  1744.600 13515.500  3119.160 17079.500   744.611 28079.300    50.259  4426.660   777.643   162.136
   728.539  2156.480    60.595   641.967  3884.130  1102.990   327.836  2441.380  1056.540   189.549 15092.000  1447.200   771.435    52.883  1665.690 12226.200  3198.070 16683.600   774.494 24405.600    67.693  3997.180   784.008   146.764
GON4L     SEPHS2    HOOK3     FBXL15    TXNIP     HSPG2     HSPA9     ALDH4A1   PROSC     PSMB6     EHBP1     KLHL26    F8A1      PPP1CC    TADA3     STAG1     SEC61B    MKL1      TTC9C     PLCD3     MOCS3     PEPD      KNTC1     GALK1
   754.040  1868.690 11574.300    71.311  2798.090 29965.800 49628.900  5444.470 10231.800  5073.420  6649.120    69.422  1005.900 12370.000   756.742  2467.690  2566.440  2184.540  2631.410   771.872  2828.190  3994.590  4765.760  3023.420
   659.657  1672.370 11269.700    49.845  2559.790 30199.100 44138.200  5512.900  9705.350  4518.930  6130.090    55.551   909.272 11259.400   789.781  2495.710  2383.340  1922.080  2957.990   716.333  2702.970  3779.400  4635.550  3077.840
   638.754  1605.080 10540.700    59.751  2414.740 27954.200 42957.900  5122.490  9207.370  4477.140  5744.460    52.066   943.214 10952.900   711.230  2333.140  2603.530  1849.820  2695.970   639.679  2529.360  3667.380  4401.810  2870.940
   650.076  1624.060 10293.200    50.753  2472.220 26929.200 42595.700  4875.090  8983.990  4277.140  5918.250    62.004   805.012 10621.500   700.814  2198.790  1916.550  1901.120  2410.580   720.017  2525.130  3437.710  4191.330  2705.900
PDDC1     LTA4H     VDAC2     ARHGEF1   UBFD1     AKT2      ANKRD57   DNAJC9    LOX       CCDC66    RNF138    MRPS16    ANXA5     GEMIN5    ISOC2     CDC42EP3  CCDC28B   ABCA3     TCTEX1D2  PFKFB2    MEA1      CCDC43    CYBRD1    DDI2
   920.469 21097.200 19635.100  8381.310  8556.290  2081.990   621.221  5644.410  4729.440   126.397   750.182  1765.200 42020.500  5880.360   689.520  3625.410   243.338   166.128   220.283  1692.460   143.166  4212.370  3891.830  1956.920
  1065.090 20364.900 18576.300  8777.940  8347.130  2052.550   572.597  5165.360  4777.920   127.820   679.667  1551.200 35111.600  6148.520   684.362  3672.110   210.172   149.722   206.744  1848.150   124.014  4058.250  3843.630  2032.950
   953.512 20512.500 17417.600  8119.770  7904.350  1926.710   552.978  4941.800  4469.730   110.628   637.800  1493.380 34703.400  5498.930   598.036  3355.600   203.634   136.144   191.451  1708.290   126.031  3791.250  3689.890  1884.140
   861.454 17396.100 17520.500  7571.440  7553.150  1854.300   538.788  4947.050  4228.040   121.976   670.727  1542.140 35897.400  5516.930   660.437  3329.430   211.825   153.263   199.926  1536.880   118.894  3790.970  3402.600  1774.100
TMOD3     CDK17     UBXN6     RAPH1     CISD3     PSMD5     GLS       LYPLA2    C12orf23  GINS1     PELO      RFX7      C10orf88  FAM125A   SLC7A1    NFIB      NIPBL     RNF13     DKFZp686F1CA13      STARD10   SPTAN1    PRMT7     PIK3C3
 13539.100  2086.450  6402.420 10180.200  1658.170  4697.360  1673.240  3579.590  2513.230  2577.110  2391.410   634.063  4887.660  2547.510   463.119  1513.890  2887.350  2518.090 17175.100  1128.740   157.289   929.735  1532.940  3288.370
 13656.100  1897.870  5963.480  9958.990  1748.030  4554.650  1524.610  3738.370  2616.740  2406.810  2678.980   574.590  4746.720  2925.950   470.115  1569.840  2533.910  2690.970 17380.500  1054.090   125.113   820.310  1461.580  3065.270
 12283.300  1881.930  5729.560  9158.150  1527.510  4349.620  1431.980  3461.920  2381.290  2327.010  2587.650   525.935  4536.260  2536.830   448.941  1435.090  2469.430  2413.730 16238.700   997.561   134.439   769.449  1396.920  2858.100
 12652.000  1772.340  5613.450  9319.460  1598.040  4141.780  1503.030  3255.090  2328.030  2248.930  2067.890   583.846  4310.880  2490.120   408.181  1397.180  2510.470  2371.320 15506.000  1008.140   125.061   838.767  1355.280  2981.620
CETN2     PSMG3     C22orf25  TBCB      MRPL52    BTAF1     MYH6      ARIH1     ATRNL1    SF1       TNRC6B    C12orf43  UCHL5     TCHP      SP3       PPDPF     UBE2W     TRMT5     HDAC5     VPS33B    PPP3CC    PDE6D     C19orf10  POLR2G
  7140.380   993.508    93.611  4176.310  1008.060  7714.040  1837.400  4860.750   360.367 11533.700  7987.420   915.770 11189.800   365.875   676.813   262.640    60.787  5565.880   332.680  3198.390   551.605   466.367  6333.030  3193.580
  6705.940   892.475    77.498  4118.950   968.943  7330.250  1743.130  4768.730   323.230 11140.500  7630.010   802.775 11408.600   319.281   660.007   242.958    54.264  5681.810   291.901  2926.580   507.766   410.608  5207.610  3014.100
  6238.980   864.786    82.421  3925.630   901.183  6907.110  1709.950  4503.210   322.812 10453.400  7001.480   777.071 11396.600   325.697   604.535   261.954    50.795  5198.960   292.789  2834.430   516.469   403.310  5234.430  2970.490
  6490.600   869.116    74.892  3701.710   916.918  6929.060  1583.070  4354.830   306.026 10407.200  7367.610   804.145  9396.480   304.783   625.884   203.461    55.117  5155.400   282.218  2807.320   459.368   404.529  5398.960  2749.480
AKT3      MARS      FAM160B1  SERPINB6  BCORL1    OFD1      GSTCD     PTPN23    ZDHHC13   SEPT8     SLFN5     PACS2     NPM1      DNAJC5    DTWD1     C7orf26   MAST2     XPO1      MMGT1     ARID5B    MBIP      KIAA0196  TFDP1     GABPA
  1939.400 13855.400  6773.510  8596.140    67.935   833.582   323.617  9373.100   798.984  3171.730  6747.250   439.219 51947.400  1470.570   542.416   307.061   452.927 19135.000  1684.180   836.742  1541.070  6171.940   752.397  3529.500
  1775.400 13922.500  6305.170  8078.930    57.682   887.769   317.711  9420.190   722.723  3240.640  6585.730   387.477 36855.400  1381.870   463.496   266.185   390.984 19259.300  1594.140   936.307  1340.530  6180.390   661.469  3551.550
  1735.190 13117.800  6020.120  8184.040    62.249   826.053   342.682  9182.430   658.607  2956.770  6227.980   372.925 39641.600  1353.870   452.041   253.123   398.282 17965.300  1543.650   886.290  1357.390  5713.230   622.258  3304.150
  1688.070 12484.000  6034.920  7187.880    53.564   760.974   248.628  8145.900   744.644  2956.460  6068.780   389.694 42278.900  1277.890   476.147   275.855   380.468 17464.600  1481.590   749.918  1301.870  5686.210   682.570  3231.250
HFE       ARFIP1    DOPEY2    CCDC85B   ELTD1     DOCK10    SDCCAG3   HEXIM2    ARL4C     DICER1    ARF1      MTOR      C6orf10   CNRIP1    NARS      PCMT1     NDUFS5    ZKSCAN1   FAM114A2  MAN2B1    RAP1GDS1  RPRD1B    UBR1      MRPL53
    60.877   259.341  1633.220  1385.860  1693.850  3027.200   776.347   418.523  2092.750   573.578  7727.500  6337.630   686.375  1279.110 14989.100  2733.520  1222.720  1007.200  4878.010 10044.900 10969.800  4003.900  4320.770  4742.300
    56.471   227.129  1545.020  1494.690  1610.890  3054.000   709.432   361.215  2002.400   672.300  7370.910  5856.720   666.386  1182.200 15259.400  3130.940  1141.860   959.679  4872.110 10228.300 10453.900  3853.190  4335.980  4356.270
    52.303   223.818  1434.880  1348.400  1536.380  2899.090   670.327   345.699  1895.790   581.715  7479.380  5653.110   650.880  1150.530 14404.900  2766.480  1083.330   935.038  4540.810 10005.000  9947.660  3644.640  4006.690  4290.940
    56.010   225.219  1499.070  1310.770  1514.400  2715.310   701.435   374.238  1885.540   568.712  6464.240  5608.800   598.483  1123.140 13538.000  2652.670  1102.460   883.188  4472.760  8739.000  9860.990  3620.610  3998.170  4123.650
LNX2      LYPLA1    INPP4B    BCAT2     USP38     PTEN      CABIN1    RPS6KB2   LUC7L3    MIER1     PLXNB1    PSIP1     SHROOM3   ANLN      PFKP      STAT6     DIS3L     METTL14   ZNF746    KIAA0664  GBP3      KDM1A     RPS6KB1   CKAP5
   151.288  2673.480  2576.670  4170.550   184.559  2324.790   435.058   434.597  2455.280  5175.770   983.804 11041.500  8085.990  6959.430 14031.700  8038.750   530.854  2105.410    90.129  6461.810   291.286  6578.620  1211.770 22554.500
   131.333  2547.930  2443.710  4101.810   175.161  2139.380   413.309   383.941  2228.330  5217.360   985.358 11631.000  7744.600  6480.270 13494.200  7561.690   481.329  1929.130    71.133  6216.810   300.302  6599.760  1361.750 22629.200
   126.658  2496.940  2282.850  3858.510   175.824  2038.510   383.952   372.462  2140.820  4919.050   909.528 11410.000  7264.870  6148.970 12892.600  7159.610   456.667  1888.490    70.907  5947.230   279.976  6669.160  1235.650 21596.400
   134.767  2332.880  2361.480  3794.240   156.971  2091.790   400.989   384.944  2193.290  4699.480   912.879  9573.210  7387.090  6291.050 12587.900  7282.430   480.393  1846.810    78.422  5795.630   268.053  5539.340  1148.840 20272.300
DTNB      FAM21A    KHDRBS1   BLOC1S1   CAMK2D    RNF219    NOC4L     HTT       KIF14     HNRNPU    NT5C3L    PBLD      EXOSC5    MRPS28    NKIRAS2   SIRT2     PCBD2     FZD6      VAT1      PYCRL     KIAA1430  UNK       SPTLC3    ANAPC5
   451.486  2878.790  7694.040  1495.150  8869.750  1846.070  4223.150  3041.550  2612.590 26633.200  2062.190  1310.970  3857.270  2183.190  1345.560   570.401   383.680  1412.170 12224.200  2373.280   793.763  3207.030   340.296  2771.320
   367.603  2754.820  7526.430  1349.620  8561.890  1642.160  4007.430  2810.500  2469.580 22829.500  1988.710  1216.240  3648.880  2126.130  1342.560   511.037   371.264  1267.540 11680.400  2469.490   824.852  3025.320   293.756  2500.020
   391.356  2588.550  7384.390  1307.090  8028.160  1574.630  4256.150  2750.230  2371.290 23354.000  1885.940  1095.180  3423.350  2017.430  1270.120   480.453   346.374  1245.070 11087.300  2275.070   740.438  2913.960   280.321  2471.280
   367.702  2632.200  6720.800  1329.240  8128.830  1658.740  3373.450  2675.020  2340.730 22506.200  1869.950  1248.310  3541.780  1981.950  1224.670   523.261   354.324  1242.310 11102.200  2220.360   762.153  2872.250   308.391  2424.310
HSDL2     RFWD2     BCL2L1    NAA16     KTI12     ZC3HAV1   CSDE1     hCG_201094C11orf67  TRPT1     RPA1      AHCYL1    SLC6A8    KIAA0754  MAP4      FAAP100   DUSP23    ITGA10    RAF1      SAR1A     HAUS1     NRF1      CPS1      EVI2B
  3459.350   144.406  1253.340  2235.800  2248.240  8194.460  1098.610   613.189  1298.640   730.198 11131.000 12732.100    72.461  4478.740  2957.170  1004.170  1460.230   577.084   264.296 10885.000  5057.840   494.013  9459.020   426.127
  4042.970   124.537  1105.970  2355.270  2059.700  8558.150  1049.610   526.603  1553.730   713.628 11445.200 12718.000    67.040  4156.440  3186.700   883.885  1436.400   534.816   233.363 10788.800  4913.500   421.760  9211.350   372.728
  3969.510   119.204  1102.470  2182.810  1949.760  7927.770   987.396   547.709  1365.780   671.367 11152.400 12056.300    67.799  4028.110  3672.960   878.945  1477.960   510.941   222.470 11111.500  4620.140   433.374  8646.260   363.170
  2998.840   130.646  1089.520  2083.210  2053.680  7645.470  1009.730   511.919  1286.120   671.409  9843.890 11613.800    61.949  4003.970  2041.940   877.912  1217.450   523.806   240.676  9059.900  4661.350   419.089  8734.600   380.571
DYNLL2    ERRFI1    CS        CTSL1     C14orf43  FBXO7     ATG3      CD59      TXNDC5    SDCCAG8   NIT1      ADCY6     ZC3H12A   DIXDC1    FAM109A   C19orf60  RAB11FIP3 SMYD5     ETAA1     WHSC1     NUP98     GOLGA4    CLNS1A    METTL1
  2157.980  4772.970 11173.200  3878.090  3178.100  1938.230  4650.490  7090.310 22767.100  4043.420  3086.060    63.667   125.877   679.259   122.188    79.077    67.004   999.265   419.266  2580.280 17521.400 50215.600  4037.700   551.901
  2162.650  4530.170 10878.400  3830.180  3424.740  1827.100  4584.060  5897.720 19588.200  3668.740  3026.830    52.822   114.745   589.841    82.630    79.458    53.636  1009.070   361.571  2250.410 18680.000 49245.100  3996.730   603.838
  2014.670  4319.250 10387.000  3743.730  3197.480  1836.810  4399.480  5998.400 19639.700  3555.470  2861.950    57.245   116.247   587.946    92.611    72.899    57.769   940.040   352.182  2234.490 17195.700 47807.700  3785.850   550.412
  2008.020  4342.800 10147.000  3434.460  2951.750  1670.220  4203.200  6102.350 19824.400  3630.290  2833.730    51.356   108.085   595.356    98.378    74.951    54.760   933.532   376.301  2272.800 16583.300 45000.100  3712.930   528.447
ERCC6L    BRAF      SEPT2     GNPDA1    ATP5S     F2        DCAF11    MDH1      SEPHS1    EPN1      GSPT2     TOP2B     DBNDD1    TAF8      TXLNA     LAMC1     SHMT2     CSNK2A1   RRAS      CHCHD1    C6orf106  LOC401307 HPS6      SDF2
  4957.530   378.626 15349.400  7598.650  1173.360   465.496   572.543  8257.930  4363.820 11001.900 16537.200  9944.690    82.644  1293.640 13924.100 30072.700 21412.400 10885.800  6137.860  3231.560   385.713   502.396  2173.850   967.181
  5320.010   313.160 15364.400  7607.850   950.538   404.764   505.088  8484.780  4372.940 10843.000 16671.000  9756.900    87.166  1191.190 13226.000 29765.400 20872.100  9965.520  5749.300  3086.370   615.213   422.454  2231.840  1175.230
  4942.800   310.606 15392.800  7611.910   946.398   394.633   489.010  8314.770  4079.980  9962.800 16677.300  9451.460    79.624  1149.340 12597.700 28309.700 21168.200  9697.280  5522.870  2955.660   508.027   429.051  2122.750  1039.770
  4651.620   335.221 13281.500  6585.640  1036.770   417.965   517.318  7320.530  4080.350 10441.400 14342.700  8955.160    79.053  1172.960 12780.500 27640.500 18370.400  9800.180  5593.350  2952.940   428.080   435.912  1997.700   963.951
STK11IP   MCTS1     TMEM106B  PPWD1     SMS       SNX1      CCT2      NLN       HAUS2     AKAP10    LRRFIP1   BCAS3     TMED4     USP14     CHORDC1   COMMD2    C6orf129  ATG12     TEFM      PRKAB1    PCDHB13   SGCE      METTL15   GLYR1
  2543.440  7508.590  2922.050  3597.540 11107.800  8479.930 21173.400  9231.290   973.079  1000.770   520.581  1443.780  4407.450 10662.800  5461.210   855.690   208.751  3064.170   469.067  2142.490   112.991   822.796  1011.390  5813.630
  2608.950  7513.720  2700.760  3740.170 10901.300  8086.550 21671.800  9685.690  1054.030   993.091   468.393  1323.890  4881.100 10188.500  5950.940   727.451   175.735  3437.830   386.531  2003.570    98.332   812.017   876.717  6241.150
  2351.880  7087.440  2673.880  3526.890 10519.700  7846.640 21646.200  9418.350   954.479   912.441   437.237  1264.870  4843.050  9848.490  5500.520   754.512   186.519  3385.290   406.005  1937.150   102.406   763.493   882.875  6259.030
  2467.280  6964.900  2585.930  3337.900 10074.500  7654.860 18454.400  8291.310   943.343   954.455   488.794  1326.850  3855.040  9680.120  5187.770   728.428   173.677  2706.490   395.740  1948.350    95.657   768.816   886.974  5042.360
ZNF148    HSPA4     KIAA0907  TRAPPC3   SURF4     HUWE1     COPS7B    FAM49B    MAPK14    BCKDHB    TTC3      OSBPL1A   CA5B      CSK       PTGES3    KANK2     MSN       FASTKD3   CC2D2A    CEP192    CNDP2     TSEN34    CPNE3     MAP1S
  2786.230 30997.000  3600.550  3176.400  4067.120 20344.300  3620.180  3295.700  3182.760  2548.590   611.845  3249.180   126.101  4864.390  8789.310   360.729 22685.700    70.148   126.635  3608.530  9970.470  1933.530  9748.310  4055.970
  2516.650 28576.800  3674.420  2841.840  3646.330 20925.500  3377.850  3263.890  2887.570  2585.980   504.798  2867.950   107.648  4986.300  6633.740   318.750 22277.500    52.507   114.972  3378.220 10072.800  1833.200 10336.800  3621.400
  2517.710 27795.700  3461.450  2888.080  3731.850 20159.700  3249.390  3221.480  2890.920  2376.790   520.988  2855.680   112.551  4753.080  6920.530   318.850 21450.000    64.191   112.495  3255.150  9795.750  1726.910  9842.100  3564.220
  2453.940 28075.000  3362.550  2757.630  3505.370 18565.600  3317.750  2936.370  2807.960  2444.810   527.645  2888.890   106.963  4498.640  7565.930   319.426 20787.100    51.034   114.513  3309.460  9038.560  1813.160  9035.270  3652.700
WHSC1     RNF5      MRPS18A   POLR1D    ROR1      TARS      SGK223    CHMP1A    NFX1      WDR45     RPS3A     HNRNPA0   POLD2     RALGAPA1  PPP1R12A  PLEKHA7   ACTN4     SRP19     TTLL12    NGRN      ULK3      ZNF592    PHC3      MAPK9
   580.738   260.619  3001.610  1456.470  1188.540 19257.400   158.304  3230.560   493.229   986.028 21796.000  2796.370  2254.290   936.183 27077.700   558.474 93810.600  1713.820  7107.700   808.600    89.798   446.364  1982.750  1367.740
   581.649   204.910  2851.840  1634.900  1186.130 19353.000   134.669  2968.400   453.048  1000.190 17955.500  2963.320  2394.080   798.121 26360.300   487.455 80016.600  1730.850  7423.140   745.165    84.667   409.038  2078.800  1622.730
   527.065   224.109  2705.320  1511.920  1136.460 18856.800   141.932  2930.760   441.277   908.156 20454.400  2872.940  2288.930   846.829 25622.600   506.171 80809.300  1595.470  7005.630   718.542    78.564   397.401  1919.490  1438.290
   565.674   213.579  2798.200  1394.920  1096.520 17450.700   133.576  2899.370   448.916   960.345 16947.000  2546.240  2085.050   785.268 24669.000   478.353 82825.400  1647.290  6675.700   744.596    85.752   408.299  1908.070  1380.130
RBMX2     ERCC2     BZW2      DOCK4     PSMD8     GMPPB     ZC3HC1    SLC25A11  UCK2      OCIAD2    ITGBL1    PGLS      ARL6IP6   TNRC6C    FER       ERBB2     LRRC47    LSM4      CHRAC1    FSTL3     NME3      COL3A1    SVIL      CWF19L1
   768.252  2422.290  8511.330   115.769 10640.800   884.174  5755.300  4914.060  2139.380  2908.180   683.355  8550.970  1292.740   305.779   492.321  3068.370  7714.060  4796.220  1172.570   189.004  1262.040   804.185   713.049  7354.000
   710.705  2512.450  7899.450   110.707 10626.800  1027.290  6156.890  5014.040  2029.180  2768.310   732.527  9179.820  1125.140   274.354   466.234  2763.810  8601.540  4649.910  1162.150   173.189  1135.960   729.540   785.365  6640.040
   676.536  2322.650  7981.860   104.197 10461.500   925.435  5714.380  4959.800  2065.000  2745.770   673.573  8429.700  1085.510   270.635   473.587  2682.160  8346.610  4529.890  1122.200   165.605  1114.790   709.524   714.102  7124.390
   717.472  2328.750  7487.610   109.314  9589.250   876.694  5517.170  4401.550  1865.960  2607.300   661.747  8294.190  1195.480   276.686   430.777  2820.360  7048.920  4384.290  1081.620   176.315  1149.380   738.667   700.777  6090.270
MRPS22    DCUN1D1   SAMHD1    COPS8     RMI2      ZFYVE27   ILF2      ZNF644    PML       PHKG2     APOA1BP   DLG1      PDLIM5    NUF2      KIAA0284  BCAS2     NUBPL     SCO1      LARS      CCDC22    TMOD2     ZFPL1     ZNF629    PGK1
  9464.310  3298.260  6783.910  4135.870   117.976   370.138 15398.200   496.964  2150.800   659.109 10265.400 15056.300 24025.300  4170.930  6632.440  6186.380  2471.290  1260.210 26431.400  5497.380  2034.290  2555.630   235.039 42785.900
  8823.790  3480.890  6568.920  4159.910   106.338   332.287 13716.500   441.890  1956.600   716.938 11472.800 14328.000 22423.800  4205.980  6926.770  6235.920  2235.630  1212.680 26658.000  5181.130  2034.820  2334.560   220.587 38336.600
  8604.680  3663.860  6311.670  4289.860   100.526   320.931 13925.800   432.253  1987.040   621.301 11247.500 14390.700 21705.600  3953.440  6581.880  5915.690  2265.590  1162.490 26353.500  5022.020  1960.340  2300.540   215.063 39767.700
  8670.030  2743.660  6309.380  3551.440   111.501   343.070 13597.600   455.326  1896.950   679.926  9312.660 13404.900 22233.500  3970.970  6247.130  5838.580  2188.830  1177.860 23892.100  5084.610  1891.200  2328.440   216.227 37025.100
LBR       PITHD1    VPS35     AKAP2     NIPSNAP1  FAM63B    TTPAL     SLC25A24  TOM1      MPI       FAM40A    C19orf50  PLS3      TMEM184C  UBE2E2    MTMR6     KIAA1609  SRBD1     RAP1B     CDK2      MYD88     OGFR      ABHD14B   C9orf82
  5714.940  1914.350  9003.520   710.189  3137.910  1271.520   568.930 12680.200  4206.170  5667.030  3563.000   742.769 30033.800    89.634   313.457  2520.410  7163.840  3515.350  9180.900  2333.190   191.880  3732.700  2571.590  4076.250
  5351.770  2133.330  8809.470   706.798  2997.680  1455.580   519.761 13019.500  4422.150  5638.590  3503.900   645.146 32680.200    76.509   291.358  2430.940  6811.980  3523.360  8871.390  2455.720   195.980  3970.270  2369.870  4039.010
  5236.630  1980.410  8645.370   640.676  2849.650  1383.630   511.482 12403.000  4250.890  5282.630  3371.370   621.593 31229.100    85.164   270.446  2366.550  6700.200  3418.760  9299.850  2369.770   157.542  3688.810  2366.290  3820.710
  5241.370  1852.120  8223.670   701.457  2962.440  1200.070   520.059 11947.700  3924.810  5431.400  3325.970   693.779 28216.500    72.327   303.039  2328.880  6558.330  3259.010  7828.530  2174.220   210.579  3622.690  2324.060  3883.300
DNAJB11   PURA      MTHFD1    DLC1      BNC2      IFT27     ATG5      UBR4      RB1       UCHL5     SEPT11    MRPS24    GATAD1    JMJD7     CST3      DOCK1     HIST1H4A  STAT1     C12orf10  CTSO      TRRAP     TRIP12    RPL24     PDCD6
   555.533  3711.730 25975.000   685.652   162.322  3630.600  3379.270 17220.500  5863.910   532.553  7703.070  1538.190   263.381   196.290  3130.980  2534.260 24644.300 15670.600  3848.200   271.286  2556.840   142.464  5560.900  2391.930
   470.056  3559.300 25590.600   610.906   135.850  3668.390  3492.610 17630.600  5734.050   487.493  7321.640  1514.960   222.712   164.424  2949.720  2603.940 18510.700 15462.300  3644.560   230.025  2605.810   134.341  5044.450  2195.940
   491.454  3498.180 24608.900   621.828   141.233  3470.420  3284.510 16517.400  5511.600   468.691  7520.410  1485.500   235.658   173.012  2853.590  2430.390 19526.200 15102.300  3616.160   239.126  2531.360   127.266  5077.730  2332.320
   482.170  3405.150 24354.400   609.394   141.916  3461.350  3241.920 16584.200  5506.010   500.584  6762.400  1417.140   226.540   170.044  2930.040  2456.940 21526.500 14514.500  3512.410   237.825  2380.510   136.096  5012.850  2033.010
NT5E      RPL5      GKAP1     ABCE1     SDHB      ZBTB2     LARP4B    GTPBP2    MED23     COBRA1    SNRPD2    EIF2C3    PEG10     RAB32     BAG6      METTL3    PJA2      STXBP5    ZNF295    THUMPD1   PIK3R4    RAB8B     REEP6     MRPL40
 22945.900 16621.900   397.031 10560.600 11974.300   577.762  4602.160   124.566   841.862  3199.050  8843.580  1033.790  2830.710  5412.810  9047.550  5163.800  2088.460  2071.450   419.318  5792.420  4684.760   280.015   273.331  7917.820
 24636.100 15075.100   344.605 11615.300 11429.000   567.646  4548.030   115.360   739.748  3296.060  8911.610   949.873  2848.030  6000.300  9222.930  4770.040  2220.630  2273.350   379.943  6015.590  4657.580   244.193   347.935  7623.710
 23293.500 14997.400   346.633 10567.400 11764.800   549.226  4430.150   112.601   742.822  3104.780  8544.540   962.951  2662.890  5993.650  8708.960  4585.290  2102.740  2070.770   358.358  5758.360  4449.350   239.498   314.584  7849.640
 21981.500 15162.900   359.066 10539.300 10510.800   541.301  4282.510   115.860   763.345  3081.710  8367.420   926.598  2747.620  4880.910  8699.680  4883.540  2004.930  2071.030   403.675  5501.000  4459.210   260.393   277.882  6972.270
APPL1     CSNK2A2   MIB1      NAGA      TOP2A     C22orf13  FAM96A    HSP90AA1  FNDC3A    TBC1D1    CCDC124   HEATR3    F13A1     ILK       PJA1      PPP4C     AXL       RNF41     DDX19A    CSPP1     EHD3      SHMT1     LPXN      SMAD4
  7045.490  6999.710  1547.360  1435.040  8948.480   175.570  1237.690 72479.800  5519.620  1385.440  2835.830  2315.600   192.495 14009.100  1555.790  4653.250  7813.570  1483.930  7990.040   604.936  5528.550  3033.840  1246.210  3141.300
  7134.540  7127.880  1420.390  1462.050  8757.200   154.279  1155.480 62163.000  5065.940  1678.830  2887.210  2460.080   183.102 13906.700  1446.490  5064.110  7391.620  1407.880  7597.600   666.076  5745.430  2913.380  1280.000  3822.850
  6988.130  7142.460  1451.000  1419.740  8312.220   153.734  1128.110 64301.200  5048.820  1511.150  3139.800  2324.820   179.162 13326.000  1486.110  4799.560  7392.260  1381.610  7424.340   617.103  5310.210  2818.010  1258.960  3496.530
  6535.650  6332.000  1379.780  1343.690  8576.960   161.002  1155.710 64190.200  5054.220  1413.470  2322.440  2233.870   179.409 13324.600  1380.650  4479.510  7127.190  1379.790  7461.490   597.030  5460.750  2864.350  1155.330  3161.140
